split_index,detector,train_size,test_size,test_auc,test_average_precision,test_accuracy,test_f1,test_precision,test_recall,tn,fp,fn,tp
72,logistic_regression,28,14,0.7755102040816326,0.853113553113553,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,6,1,3,4
72,random_forest,28,14,0.8367346938775511,0.8809523809523809,0.7857142857142857,0.7692307692307693,0.8333333333333334,0.7142857142857143,6,1,2,5
73,logistic_regression,28,14,0.7346938775510204,0.7456305599162742,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,5
73,random_forest,28,14,0.7346938775510204,0.7401360544217688,0.6428571428571429,0.6153846153846154,0.6666666666666666,0.5714285714285714,5,2,3,4
74,logistic_regression,28,14,0.7551020408163265,0.8361067503924646,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,6,1,3,4
74,random_forest,28,14,0.9489795918367347,0.947845804988662,0.6428571428571429,0.4444444444444444,1.0,0.2857142857142857,7,0,5,2
75,logistic_regression,28,14,0.8163265306122449,0.8864468864468864,0.7142857142857143,0.6,1.0,0.42857142857142855,7,0,4,3
75,random_forest,28,14,0.826530612244898,0.8670995670995671,0.6428571428571429,0.4444444444444444,1.0,0.2857142857142857,7,0,5,2
76,logistic_regression,28,14,0.836734693877551,0.8010204081632653,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,1,1,6
76,random_forest,28,14,0.8571428571428571,0.8486394557823129,0.7857142857142857,0.8,0.75,0.8571428571428571,5,2,1,6
77,logistic_regression,28,14,0.7142857142857143,0.7453308596165737,0.6428571428571429,0.6666666666666666,0.625,0.7142857142857143,4,3,2,5
77,random_forest,28,14,0.8775510204081634,0.8260204081632654,0.8571428571428571,0.875,0.7777777777777778,1.0,5,2,0,7
78,logistic_regression,28,14,0.673469387755102,0.7019230769230769,0.6428571428571429,0.6153846153846154,0.6666666666666666,0.5714285714285714,5,2,3,4
78,random_forest,28,14,0.8163265306122449,0.8214285714285714,0.7857142857142857,0.7692307692307693,0.8333333333333334,0.7142857142857143,6,1,2,5
79,logistic_regression,28,14,0.7755102040816326,0.7853741496598639,0.7857142857142857,0.8235294117647058,0.7,1.0,4,3,0,7
79,random_forest,28,14,0.9183673469387755,0.9365079365079363,0.7857142857142857,0.7272727272727273,1.0,0.5714285714285714,7,0,3,4
80,logistic_regression,28,14,0.8163265306122448,0.8612768184196755,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,1,1,6
80,random_forest,28,14,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,7,0,0,7
81,logistic_regression,28,14,0.653061224489796,0.6883176347462061,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,4,3,1,6
81,random_forest,28,14,0.8877551020408163,0.8843537414965985,0.7857142857142857,0.8235294117647058,0.7,1.0,4,3,0,7
82,logistic_regression,28,14,0.7142857142857143,0.8134310134310132,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,4,3,3,4
82,random_forest,28,14,1.0,0.9999999999999998,0.9285714285714286,0.9230769230769231,1.0,0.8571428571428571,7,0,1,6
83,logistic_regression,28,14,0.7142857142857143,0.7527734170591314,0.7857142857142857,0.8,0.75,0.8571428571428571,5,2,1,6
83,random_forest,28,14,0.8775510204081634,0.8260204081632654,0.8571428571428571,0.875,0.7777777777777778,1.0,5,2,0,7
84,logistic_regression,28,14,0.7551020408163265,0.8245421245421245,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,5
84,random_forest,28,14,0.8061224489795918,0.7843537414965986,0.7857142857142857,0.7692307692307693,0.8333333333333334,0.7142857142857143,6,1,2,5
